Name,Type,Value,Regular,Destination Type,Destination Value,Destination Regular,Effective Channel,Mac Value,Windows Value,Linux Value,Target Port,Mac Regular,Windows Regular,Linux Regular, Endpoint Location
银行网站,目标域名,cmbchina.com;boc.com;icbc.com.cn;abchina.com;ccb.com;bankcomm.com;psbc.com;cebbank.com;citicbank.com;spdb.com.cn;cmbc.com.cn;cib.com.cn;hxb.com.cn;bankofbeijing.com.cn;cgbbank.com.cn;citibank.com.cn;sc.com;hkbea.com.cn;hsbc.com.cn;95559.com.cn;ecitic.com;cgbchina.com.cn;95599.cn;unionpay.com;chinaums.com;tenpay.com;alipay.com;chbank.com;99bill.com;jnbank.com.cn;ccqtgb.com;cmbcn.com.cn;epay.163.com;czcb.com.cn;zybank.com.cn;jsbchina.cn;mybank.cn;hsbank.com.cn;nbcb.com.cn;crbank.com.cn;ghbank.com.cn;ncbchina.cn;mucfc.com;czbank.com;pingan.com;bestpay.com.cn;95516.com;gov.cn;unionpaysecure.com;pay.suning.com;jr.jd.com;huifu.com;bjrcb.com;xmccb.com;4001961200.com;gzcb.com.cn;grcbank.com;gdnybank.com;dongguanbank.cn;drcbank.com;bankofbbg.com;guilinbank.com.cn;bosc.cn;bankofshanghai.com;hzbank.com.cn;njcb.com.cn;bocd.com.cn;cbhb.com.cn;bank-of-tianjin.com.cn,,,,,HTTP;HTTPS,,,,.,,,,任意位置
AppleStore,目标域名,icloud.com;itunes.apple.com;mzstatic.com;xp.apple.com;gs-loc.apple.com;gsa.apple.com;s.mzstatic.com;gsas.apple.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
IOS升级,目标域名,albert.apple.com;identity.apple.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
GotoMeeting会议,目标域名,gotomeeting.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Webex会议,目标域名,webex.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Mozilla更新,目标域名,mozilla.org;mozilla.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Citrix远程,目标域名,citrixonline.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
GotoAssist远程,目标域名,gotoassist.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
搜狗拼音,目标域名,qqpy.sogou.com;pinyin.sogou.com;dsp.brand.sogou.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
应用错误日志上传,目标域名,err.up.vivo.com.cn;bugreport.os.qiku.com;logs.quality.qiku.com;bugs.python.org;tracker.sns.iqiyi.com;kstj.baidu.com;xfeedback.scloud.letv.com;kugou.com;nexus.officeapps.live.com;platform.v5.ztemt.com.cn;tool.css-js.com;c.xingjuhe.com;report.cgi.weiyun.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
百度网盘登录,目标域名,passport.baidu.com;globalsign.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
360网盘登录,目标IP/IP段,36.110.236.254;36.110.213.150,,,,,HTTP,,,,.,,,,任意位置
企业微信,目标域名,sz-btfs-v2-yunup-ftn.weiyun.com;report.cgi.weiyun.com,,,,,HTTPS,,,,.,,,,任意位置
Skype,目标IP/IP段,42.159.34.48,,,,,HTTPS,,,,.,,,,任意位置
Office,目标域名,officecdn-microsoft-com.akamaized.net,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Zoom,目标域名,zoom.us,,,,,HTTPS,,,,.,,,,任意位置
微信公众平台,目标域名,mp.weixin.qq.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Apple开发者,目标域名,idmsa.apple.com,,,,,HTTP;HTTPS,,,,.,,,,任意位置
Python开发,目标域名,pypi.tuna.tsinghua.edu.cn;pypi.org;*.jetbrains.com;repo1.maven.org;files.pythonhosted.org; files.pythonhosted.org,,,,,HTTP;HTTPS,,,,.,,,,任意位置
